"ID","POST_ID","MS_ID","MS_SPACEID","CAP_COLOR","METER_TYPE","SMART_METE","ACTIVESENS","JURISDICTI","ON_OFF_STR","OSP_ID","RATEAREA","SFPARKAREA","STREET_NUM","STREETNAME","STREET_SEG","Location"
"506","593-00012","593-00010","2","Black","MS","N","N","SFMTA","ON","0","MC5","Downtown","1","OFARRELL ST","9720000","(37.786753, -122.405008)"
"2157","651-05026","651-05020","6","Black","MS","N","N","SFMTA","ON","0","MC5","Downtown","502","SANSOME ST","11549000","(37.795003, -122.40145)"
"439","651-00071","651-00070","1","Black","MS","N","N","SFMTA","ON","0","MC5","Downtown","7","SANSOME ST","11542000","(37.790587, -122.400704)"
"2208","569-21262","569-21260","2","Black","MS","N","N","SFMTA","ON","0","MC3"," ","2126","MARKET ST","8764201","(37.766957, -122.42985)"
"432","700-01661","700-01660","1","Black","MS","N","N","SFMTA","ON","0","MC3"," ","166","VALENCIA ST","13053000","(37.770033, -122.422489)"
"242","561-02211","561-02210","1","Black","MS","N","N","SFMTA","ON","0","MC5","Downtown","221","MAIN ST","8629000","(37.790369, -122.392961)"
"81","651-00146","651-00140","6","Black","MS","N","N","SFMTA","ON","0","MC5","Downtown","14","SANSOME ST","11542000","(37.7907, -122.400569)"
"654","324-11063","324-11060","3","Black","MS","N","N","SFMTA","ON","0","MC3"," ","1106","BATTERY ST","2767000","(37.801623, -122.401583)"
"1695","720-03415","720-03410","5","Black","MS","N","N","SFMTA","ON","0","MC5","Downtown","341","WASHINGTON ST","13405000","(37.795861, -122.400204)"
"923","681-07166","681-07160","6","Black","MS","N","N","SFMTA","ON","0","MC1"," ","716","TAYLOR ST","12437000","(37.789383, -122.41194)"
"168","216-31170","-","0","Black","SS","Y","N","SFMTA","ON","0","MC5","Mission","3117","16TH ST","732000","(37.7648, -122.422682)"
"1974","211-03143","211-03140","3","Black","MS","N","N","SFMTA","ON","0","MC3"," ","314","11TH ST","515000","(37.771436, -122.413637)"
"36","563-03260","563-03004","26","Black","MS","Y","N","SFMTA","ON","0","MC5","Civic Center","326","MCALLISTER ST","8893000","(37.780505, -122.417548)"
"1806","209-02124","209-02120","4","Black","MS","N","N","SFMTA","ON","0","MC2"," ","212","09TH ST","451000","(37.77463, -122.412858)"
"2070","606-15183","606-15180","3","Black","MS","N","N","SFMTA","ON","0","MC3"," ","1518","PINE ST","10477000","(37.789617, -122.421052)"
"659","462-14250","-","0","Black","SS","N","N","SFMTA","ON","0","MC3"," ","1425","HAIGHT ST","6618000","(37.770042, -122.446175)"
