"objectid","ID","STREET","SIDE","LOCATION_","Z_OF_UNMET","LEGISLATIO","DESCRIPTIO","LEG_DATE","shape","data_as_of","analysis_neighborhood","supervisor_district"
"18","93","HAYES ST","N","W. BRODERICK ST","1","142-04","WITHIN THE NINE FOOT CURB","1899-12-29T16:00:00.000000000-08:00","POINT (-122.440235816 37.774733056)","2018-02-09T23:59:20.000000000-08:00","Hayes Valley","5"
"119","0","PHELAN AVE","E","NORTH OF CLOUD CIRCLE","21",,"FROM N OF CLOUD CIRCLE TO","1899-12-29T16:00:00.000000000-08:00","POINT (-122.452237092 37.726713208)","2018-02-12T20:42:25.000000000-08:00","West of Twin Peaks","7"
"35","72","04TH AVE","E","S. CORNWALL ST","2","376-02","FROM 120' TO 130' S. CORNWALL(IN FRO","2002-06-13T17:00:00.000000000-07:00","POINT (-122.462249186 37.784569363)","2018-02-12T20:38:18.000000000-08:00","Inner Richmond","1"
"8","81","NOE ST","W","S. 15TH ST.","2","445-03","FROM 47' SOUTH OF 15TH ST","1899-12-29T16:00:00.000000000-08:00","POINT (-122.433382718 37.765652002)","2018-02-09T23:59:20.000000000-08:00","Castro/Upper Market","8"
"139","0","13TH ST","NS","EAST OF SOUTH  VAN NESS","3",,"6 TO 16 FT EAST OF SOUTH VANNESS","1899-12-29T16:00:00.000000000-08:00","POINT (-122.417162536 37.769974646)","2018-02-12T20:32:34.000000000-08:00","Mission","6"
"1","66","OCTAVIA ST","W","N. FRANCISCO ST","3","611-01","FROM 49' TO 60' N. FRANCISCO ST","2001-08-02T17:00:00.000000000-07:00","POINT (-122.430070598 37.802862696)","2018-02-09T23:59:20.000000000-08:00","Marina","2"
"38","27","KAPLAN ST","W","N. CLEMENTINA ST.","35","897-96","FROM CLEMENTINA ST. TO 110' NORT",,"POINT (-122.398990326 37.784828305)","2018-02-12T20:27:43.000000000-08:00","Financial District/South Beach","6"
"66","0","SACRAMENTO ST","N","W OF LEAVENWORTH","2","10-035","BTWN 1442 AND 1456 DRIVEWAYS","1899-12-29T16:00:00.000000000-08:00","POINT (-122.41684776 37.792086701)","2018-02-09T23:59:20.000000000-08:00","Nob Hill","3"
"85","43","RITCH ST.","W","S. BRYANT ST.","3","173-99","FROM 92' TO 103' S. BRYANT ST.,","1999-03-11T16:00:00.000000000-08:00","POINT (-122.395412141 37.780024729)","2018-02-09T23:59:20.000000000-08:00","South of Market","6"
"52","0","20TH ST","N","3618 20TH ST","1",,"105.5FT  WEST O VALENCIA","1899-12-29T16:00:00.000000000-08:00","POINT (-122.421853485 37.758551495)","2018-02-09T23:59:20.000000000-08:00","Mission","9"
"10","84","HILL ST","N","N. HILL ST","5","73-04","BTWN GUERRERO AND VALENCIA, 16 HILL","1899-12-29T16:00:00.000000000-08:00","POINT (-122.421717025 37.75614539)","2018-02-09T23:59:20.000000000-08:00","Mission","9"
"103","29","LARKIN ST","W","N. GREEN ST.","2","98-96","FROM 170' TO 177' N. GREEN ST.,","1996-02-01T16:00:00.000000000-08:00","POINT (-122.420493499 37.797369527)","2018-02-09T23:59:20.000000000-08:00","Russian Hill","3"
"71","0","HAYES ST","SS","EAST OF BRODERICK ST","4","11-014","95 TO 109 FT EAST OF BRODERICK","1899-12-29T16:00:00.000000000-08:00","POINT (-122.439052318 37.774735657)","2018-02-09T23:59:20.000000000-08:00","Hayes Valley","5"
"96","76","WALLER ST","N","W. BELVEDERE ST","1","532-02","FROM 100'-109.5' W.BELVEDERE(1570-15","2002-08-15T17:00:00.000000000-07:00","POINT (-122.45000432 37.768735199)","2018-02-09T23:59:20.000000000-08:00","Haight Ashbury","5"
"43","0","BROADWAY","N","W OF LEAVENWORTH ST","3","5018-12","BTWN 1254-1260 BROADWAY","2012-09-25T17:00:00.000000000-07:00","POINT (-122.417755331 37.796588168)","2018-02-12T20:49:13.000000000-08:00","Russian Hill","3"
"51","0","LEAVENWORTH ST","E","N OF GEARY ST","5","4084-12","630 LEAVENWORTH (118-140)","2012-07-22T17:00:00.000000000-07:00","POINT (-122.414784749 37.787001989)","2018-02-09T23:59:20.000000000-08:00","Tenderloin","3"
